variant,method,best_threshold,macro_f1,fail_f1,pass_f1,response_rate_non_inconclusive,inconclusive_rate,cases,properties,avg_input_tokens_per_case,avg_output_tokens_per_case,avg_total_tokens_per_case,avg_total_tokens_per_property,relative_agent_token_cost_vs_vibetest_static
standard,VibeTest static,0.75,0.6739974500811889,0.6426299045599152,0.7053649956024627,0.8488888888888889,0.1511111111111111,75,1125,3194170.28,88470.66666666667,3282640.946666667,218842.72977777777,1.0
standard,VibeTest dynamic,0.75,0.7097832390894592,0.6508264462809917,0.7687400318979267,0.9751111111111112,0.024888888888888887,75,1125,12904948.053333333,209299.74666666667,13114247.8,874283.1866666666,3.9950296158088094
standard,TrainCheck,0.0,,,,0.0,1.0,75,1125,0.0,0.0,0.0,0.0,0.0
standard,Reviewer mode 0,0.0,0.2683900322220243,0.5036674816625917,0.033112582781456956,0.264,0.736,75,1125,368575.73333333334,11274.44,379850.17333333334,25323.34488888889,0.11571480996697167
standard,Reviewer mode 1,0.0,0.29460430636901225,0.5791245791245792,0.010084033613445377,0.3208888888888889,0.6791111111111111,75,1125,2382744.24,53641.14666666667,2436385.3866666667,162425.69244444443,0.7422028257889965
standard,Reviewer mode 2,0.0,0.31393769434746943,0.584971098265896,0.0429042904290429,0.3075555555555556,0.6924444444444444,75,1125,5197513.026666666,82249.38666666667,5279762.413333333,351984.1608888889,1.6083886416802997
reviewer_inconclusive_as_pass,VibeTest static,0.75,0.6739974500811889,0.6426299045599152,0.7053649956024627,0.8488888888888889,0.1511111111111111,75,1125,3194170.28,88470.66666666667,3282640.946666667,218842.72977777777,1.0
reviewer_inconclusive_as_pass,VibeTest dynamic,0.75,0.7097832390894592,0.6508264462809917,0.7687400318979267,0.9751111111111112,0.024888888888888887,75,1125,12904948.053333333,209299.74666666667,13114247.8,874283.1866666666,3.9950296158088094
reviewer_inconclusive_as_pass,TrainCheck,0.0,,,,0.0,1.0,75,1125,0.0,0.0,0.0,0.0,0.0
reviewer_inconclusive_as_pass,Reviewer mode 0,0.0,0.6310236849653741,0.5036674816625917,0.7583798882681564,1.0,0.0,75,1125,368575.73333333334,11274.44,379850.17333333334,25323.34488888889,0.11571480996697167
reviewer_inconclusive_as_pass,Reviewer mode 1,0.0,0.6773474256917966,0.5791245791245792,0.775570272259014,1.0,0.0,75,1125,2382744.24,53641.14666666667,2436385.3866666667,162425.69244444443,0.7422028257889965
reviewer_inconclusive_as_pass,Reviewer mode 2,0.0,0.680933202562551,0.584971098265896,0.7768953068592058,1.0,0.0,75,1125,5197513.026666666,82249.38666666667,5279762.413333333,351984.1608888889,1.6083886416802997
