source,dataset,examples,case_score
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.3
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.25
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.75
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.75
Synthetic,titanic,ex0,0.72
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.08
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.6
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.75
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.55
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.92
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.82
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.55
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.75
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.72
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.65
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.85
