file,metric,threshold,accepted_fail_predictions,correct_fail_predictions,incorrect_fail_predictions,precision,recall_of_labeled_correct_fails,verifier_auroc,verifier_average_precision
results\kaggle\continuous\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,baseline,,31,9,22,0.2903225806451613,1.0,0.48737373737373735,0.3694743130227001
results\kaggle\continuous\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,6,2,4,0.3333333333333333,0.2222222222222222,0.48737373737373735,0.3694743130227001
results\kaggle\continuous\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.0,31,9,22,0.2903225806451613,1.0,0.48737373737373735,0.3694743130227001
results\kaggle\continuous\kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,baseline,,23,8,15,0.34782608695652173,1.0,0.4583333333333333,0.3442028985507246
results\kaggle\continuous\kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,2,0,2,0.0,0.0,0.4583333333333333,0.3442028985507246
results\kaggle\continuous\kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.0,23,8,15,0.34782608695652173,1.0,0.4583333333333333,0.3442028985507246
results\kaggle\continuous\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,baseline,,46,23,23,0.5,1.0,0.4603024574669187,0.5129995608256478
results\kaggle\continuous\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,9,4,5,0.4444444444444444,0.17391304347826086,0.4603024574669187,0.5129995608256478
results\kaggle\continuous\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.0,46,23,23,0.5,1.0,0.4603024574669187,0.5129995608256478
ALL,baseline,,100,40,60,0.4,1.0,0.4583333333333333,0.41059334426510363
ALL,threshold_0.7,0.7,17,6,11,0.35294117647058826,0.15,0.4583333333333333,0.41059334426510363
