file,metric,threshold,accepted_fail_predictions,correct_fail_predictions,incorrect_fail_predictions,precision,recall_of_labeled_correct_fails,verifier_auroc,verifier_average_precision
results\kaggle_titanic_AT-gpt-5-mini.jsonl,baseline,,31,15,16,0.4838709677419355,1.0,0.5125,0.5074372759856631
results\kaggle_titanic_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,9,3,6,0.3333333333333333,0.2,0.5125,0.5074372759856631
results\kaggle_titanic_AT-gpt-5-mini.jsonl,best_f1_threshold,0.0,31,15,16,0.4838709677419355,1.0,0.5125,0.5074372759856631
results\kaggle_diabetic_AT-gpt-5-mini.jsonl,baseline,,23,14,9,0.6086956521739131,1.0,0.42857142857142855,0.641304347826087
results\kaggle_diabetic_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,2,2,0,1.0,0.14285714285714285,0.42857142857142855,0.641304347826087
results\kaggle_diabetic_AT-gpt-5-mini.jsonl,best_f1_threshold,0.0,23,14,9,0.6086956521739131,1.0,0.42857142857142855,0.641304347826087
results\kaggle_nlp_AT-gpt-5-mini.jsonl,baseline,,46,35,11,0.7608695652173914,1.0,0.43506493506493504,0.7599232490536838
results\kaggle_nlp_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,11,8,3,0.7272727272727273,0.22857142857142856,0.43506493506493504,0.7599232490536838
results\kaggle_nlp_AT-gpt-5-mini.jsonl,best_f1_threshold,0.0,46,35,11,0.7608695652173914,1.0,0.43506493506493504,0.7599232490536838
ALL,baseline,,100,64,36,0.64,1.0,0.4717881944444444,0.6385398799313893
ALL,threshold_0.7,0.7,22,13,9,0.5909090909090909,0.203125,0.4717881944444444,0.6385398799313893
