file,metric,threshold,accepted_fail_predictions,correct_fail_predictions,incorrect_fail_predictions,precision,recall_of_labeled_correct_fails,verifier_auroc,verifier_average_precision
results\kaggle_titanic_AT-gpt-5-mini.jsonl,baseline,,31,9,22,0.2903225806451613,1.0,0.4595959595959596,0.32795698924731187
results\kaggle_titanic_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,9,2,7,0.2222222222222222,0.2222222222222222,0.4595959595959596,0.32795698924731187
results\kaggle_titanic_AT-gpt-5-mini.jsonl,best_f1_threshold,0.0,31,9,22,0.2903225806451613,1.0,0.4595959595959596,0.32795698924731187
results\kaggle_diabetic_AT-gpt-5-mini.jsonl,baseline,,23,8,15,0.34782608695652173,1.0,0.375,0.34836956521739126
results\kaggle_diabetic_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,2,1,1,0.5,0.125,0.375,0.34836956521739126
results\kaggle_diabetic_AT-gpt-5-mini.jsonl,best_f1_threshold,0.0,23,8,15,0.34782608695652173,1.0,0.375,0.34836956521739126
results\kaggle_nlp_AT-gpt-5-mini.jsonl,baseline,,46,23,23,0.5,1.0,0.4054820415879017,0.484409310496267
results\kaggle_nlp_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,11,5,6,0.45454545454545453,0.21739130434782608,0.4054820415879017,0.484409310496267
results\kaggle_nlp_AT-gpt-5-mini.jsonl,best_f1_threshold,0.0,46,23,23,0.5,1.0,0.4054820415879017,0.484409310496267
ALL,baseline,,100,40,60,0.4,1.0,0.4222916666666667,0.3885334476843911
ALL,threshold_0.7,0.7,22,8,14,0.36363636363636365,0.2,0.4222916666666667,0.3885334476843911
