file,threshold,precision,recall,accepted_fail_predictions,correct_fail_predictions,incorrect_fail_predictions
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,1.0,,0.0,0,0,0
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.99,,0.0,0,0,0
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.98,,0.0,0,0,0
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.97,,0.0,0,0,0
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.96,,0.0,0,0,0
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.95,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.94,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.93,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.92,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.91,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.9,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.89,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.88,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.87,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.86,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.85,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.84,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.83,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.82,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.81,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.8,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.79,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.78,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.77,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.76,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.75,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.74,0.0,0.0,1,0,1
