file,metric,threshold,accepted_fail_predictions,correct_fail_predictions,incorrect_fail_predictions,precision,recall_of_labeled_correct_fails,verifier_auroc,verifier_average_precision
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,baseline,,31,9,22,0.2903225806451613,1.0,0.4772727272727273,0.2903225806451613
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,1,0,1,0.0,0.0,0.4772727272727273,0.2903225806451613
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.15,31,9,22,0.2903225806451613,1.0,0.4772727272727273,0.2903225806451613
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,baseline,,46,23,23,0.5,1.0,0.5434782608695652,0.5434782608695652
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,2,2,0,1.0,0.08695652173913043,0.5434782608695652,0.5434782608695652
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.15,46,23,23,0.5,1.0,0.5434782608695652,0.5434782608695652
results\kaggle\structured\kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,baseline,,23,8,15,0.34782608695652173,1.0,0.5291666666666667,0.36684782608695654
results\kaggle\structured\kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,2,1,1,0.5,0.125,0.5291666666666667,0.36684782608695654
results\kaggle\structured\kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.15,23,8,15,0.34782608695652173,1.0,0.5291666666666667,0.36684782608695654
ALL,baseline,,100,40,60,0.4,1.0,0.5208333333333334,0.41500000000000004
ALL,threshold_0.7,0.7,5,3,2,0.6,0.075,0.5208333333333334,0.41500000000000004
