file,threshold,precision,recall,accepted_fail_predictions,correct_fail_predictions,incorrect_fail_predictions
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.7,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.69,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.68,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.67,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.66,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.65,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.64,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.63,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.62,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.61,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.6,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.59,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.58,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.57,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.56,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.55,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.54,0.16666666666666666,0.1111111111111111,6,1,5
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.53,0.16666666666666666,0.1111111111111111,6,1,5
