series,threshold,threshold_low,total,gt_fail,gt_pass,accepted_fail,predicted_pass,inconclusive,coverage,inconclusive_rate,accuracy_abstain_wrong,balanced_accuracy,macro_precision,macro_recall,macro_f1,covered_accuracy,covered_balanced_accuracy,covered_macro_precision,covered_macro_recall,covered_macro_f1,combined_precision,combined_recall,combined_f1,fail_precision,fail_recall,fail_false_positive_rate,fail_f1,not_fail_precision,not_fail_recall,not_fail_f1,pass_precision,pass_recall,pass_f1,covered_fail_precision,covered_fail_recall,covered_fail_f1,covered_pass_precision,covered_pass_recall,covered_pass_f1,fail_tp,fail_fp,fail_fn,not_fail_tp,not_fail_fp,not_fail_fn,combined_tp,combined_fp,combined_fn,pass_tp,pass_fp,pass_fn,covered_fail_tp,covered_fail_fp,covered_fail_fn,covered_pass_tp,covered_pass_fp,covered_pass_fn
VibeTest static (2.94K out/prop),0.0,,1125,504,621,443,427,255,0.7733333333333333,0.22666666666666666,0.5955555555555555,0.6001984126984128,0.77079842039321,0.6001984126984128,0.6723874912338683,0.7701149425287356,0.7718330936473485,0.77079842039321,0.7718330936473485,0.7699933906146728,0.7701149425287356,0.5955555555555555,0.6716791979949874,0.7336343115124153,0.6448412698412699,0.19001610305958133,0.6863780359028512,0.7375366568914956,0.8099838969404187,0.7720644666155028,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7336343115124153,0.7985257985257985,0.7647058823529411,0.8079625292740047,0.7451403887688985,0.7752808988764045,325,118,179,503,179,118,670,200,455,345,82,276,325,118,82,345,82,118
VibeTest static (2.94K out/prop),0.5,,1125,504,621,443,427,255,0.7733333333333333,0.22666666666666666,0.5955555555555555,0.6001984126984128,0.77079842039321,0.6001984126984128,0.6723874912338683,0.7701149425287356,0.7718330936473485,0.77079842039321,0.7718330936473485,0.7699933906146728,0.7701149425287356,0.5955555555555555,0.6716791979949874,0.7336343115124153,0.6448412698412699,0.19001610305958133,0.6863780359028512,0.7375366568914956,0.8099838969404187,0.7720644666155028,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7336343115124153,0.7985257985257985,0.7647058823529411,0.8079625292740047,0.7451403887688985,0.7752808988764045,325,118,179,503,179,118,670,200,455,345,82,276,325,118,82,345,82,118
VibeTest static (2.94K out/prop),0.65,,1125,504,621,442,427,256,0.7724444444444445,0.22755555555555557,0.5946666666666667,0.5992063492063493,0.7704971017410747,0.5992063492063493,0.6716931878701806,0.7698504027617952,0.7715849727095725,0.7704971017410747,0.7715849727095725,0.7697159211363155,0.7698504027617952,0.5946666666666667,0.6710130391173521,0.7330316742081447,0.6428571428571429,0.19001610305958133,0.6849894291754757,0.7364568081991215,0.8099838969404187,0.7714723926380369,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7330316742081447,0.7980295566502463,0.7641509433962265,0.8079625292740047,0.7451403887688985,0.7752808988764045,324,118,180,503,180,118,669,200,456,345,82,276,324,118,82,345,82,118
VibeTest static (2.94K out/prop),0.7,,1125,504,621,441,427,257,0.7715555555555556,0.22844444444444445,0.5937777777777777,0.5982142857142858,0.77019441656444,0.5982142857142858,0.6709974150813846,0.7695852534562212,0.7713356264832147,0.77019441656444,0.7713356264832147,0.7694371397455309,0.7695852534562212,0.5937777777777777,0.6703462117410938,0.7324263038548753,0.6408730158730159,0.19001610305958133,0.6835978835978836,0.7353801169590644,0.8099838969404187,0.77088122605364,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7324263038548753,0.7975308641975308,0.7635933806146571,0.8079625292740047,0.7451403887688985,0.7752808988764045,323,118,181,503,181,118,668,200,457,345,82,276,323,118,82,345,82,118
VibeTest static (2.94K out/prop),0.72,,1125,504,621,440,427,258,0.7706666666666667,0.22933333333333333,0.5937777777777777,0.5982142857142858,0.7710267191824569,0.5982142857142858,0.6713594902315954,0.7704728950403691,0.7721420554753888,0.7710267191824569,0.7721420554753888,0.7703250111487543,0.7704728950403691,0.5937777777777777,0.6706827309236948,0.7340909090909091,0.6408730158730159,0.18840579710144928,0.6843220338983051,0.7357664233576642,0.8115942028985508,0.7718223583460949,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7340909090909091,0.7975308641975308,0.7644970414201183,0.8079625292740047,0.7467532467532467,0.7761529808773903,323,117,181,504,181,117,668,199,457,345,82,276,323,117,82,345,82,117
VibeTest static (2.94K out/prop),0.75,,1125,504,621,433,427,265,0.7644444444444445,0.23555555555555555,0.5902222222222222,0.5942460317460317,0.7723415417732611,0.5942460317460317,0.6696467123432752,0.772093023255814,0.7735726044366209,0.7723415417732611,0.7735726044366209,0.771884523983522,0.772093023255814,0.5902222222222222,0.6690176322418135,0.7367205542725174,0.6329365079365079,0.18357487922705315,0.680896478121665,0.7326589595375722,0.8164251207729468,0.7722772277227722,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7367205542725174,0.7955112219451371,0.7649880095923262,0.8079625292740047,0.7516339869281046,0.7787810383747179,319,114,185,507,185,114,664,196,461,345,82,276,319,114,82,345,82,114
VibeTest static (2.94K out/prop),0.82,,1125,504,621,423,427,275,0.7555555555555555,0.24444444444444444,0.5866666666666667,0.5902777777777778,0.7763216901689172,0.5902777777777778,0.6690042985251612,0.7764705882352941,0.7775201427928002,0.7763216901689172,0.7775201427928002,0.7761917960088692,0.7764705882352941,0.5866666666666667,0.6683544303797468,0.7446808510638298,0.625,0.17391304347826086,0.6796116504854368,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7446808510638298,0.7934508816120907,0.7682926829268293,0.8079625292740047,0.7615894039735099,0.7840909090909092,315,108,189,513,189,108,660,190,465,345,82,276,315,108,82,345,82,108
VibeTest static (2.94K out/prop),0.85,,1125,504,621,422,427,276,0.7546666666666667,0.24533333333333332,0.5866666666666667,0.5902777777777778,0.7772040134521683,0.5902777777777778,0.6693712594595486,0.7773851590106007,0.7783626089476383,0.7772040134521683,0.7783626089476383,0.7771068521921765,0.7773851590106007,0.5866666666666667,0.668693009118541,0.7464454976303317,0.625,0.1723027375201288,0.6803455723542117,0.7311522048364154,0.8276972624798712,0.7764350453172206,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.7464454976303317,0.7934508816120907,0.7692307692307692,0.8079625292740047,0.7632743362831859,0.7849829351535836,315,107,189,514,189,107,660,189,465,345,82,276,315,107,82,345,82,107
VibeTest static (2.94K out/prop),0.88,,1125,504,621,297,427,401,0.6435555555555555,0.35644444444444445,0.5182222222222223,0.5138888888888888,0.804654665310403,0.5138888888888888,0.6263270625458635,0.8052486187845304,0.798855198019802,0.804654665310403,0.798855198019802,0.8008998940956884,0.8052486187845304,0.5182222222222223,0.6306111411573824,0.8013468013468014,0.4722222222222222,0.09500805152979067,0.5942571785268415,0.678743961352657,0.9049919484702094,0.7757073844030367,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.8013468013468014,0.74375,0.7714748784440842,0.8079625292740047,0.8539603960396039,0.8303249097472926,238,59,266,562,266,59,583,141,542,345,82,276,238,59,82,345,82,59
VibeTest static (2.94K out/prop),0.9,,1125,504,621,296,427,402,0.6426666666666667,0.35733333333333334,0.5173333333333333,0.5128968253968254,0.8043191024748402,0.5128968253968254,0.6254484732824428,0.8049792531120332,0.7984535522517768,0.8043191024748402,0.7984535522517768,0.8005283085321828,0.8049792531120332,0.5173333333333333,0.6298701298701298,0.8006756756756757,0.47023809523809523,0.09500805152979067,0.5925,0.6779252110977081,0.9049919484702094,0.7751724137931034,0.8079625292740047,0.5555555555555556,0.6583969465648855,0.8006756756756757,0.7429467084639498,0.7707317073170731,0.8079625292740047,0.8539603960396039,0.8303249097472926,237,59,267,562,267,59,582,141,543,345,82,276,237,59,82,345,82,59
