file,metric,threshold,tests,gt_fail,predicted_fail,scored_predicted_fail,missing_verifier_scores,accepted_fail_predictions,tp,fp,fn,tn,precision,recall,f1,fp_reduction_vs_baseline,f1_delta_vs_baseline,verifier_auroc,verifier_average_precision
results\synthetic\continuous\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,baseline,,375,190,142,142,0,142,113,29,77,156,0.795774647887324,0.5947368421052631,0.6807228915662651,0,0.0,0.4548367409215746,0.7806255675417356
results\synthetic\continuous\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,375,190,142,142,0,140,111,29,79,156,0.7928571428571428,0.5842105263157895,0.6727272727272726,0,-0.007995618838992469,0.4548367409215746,0.7806255675417356
results\synthetic\continuous\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.1,375,190,142,142,0,142,113,29,77,156,0.795774647887324,0.5947368421052631,0.6807228915662651,0,0.0,0.4548367409215746,0.7806255675417356
results\synthetic\continuous\synthetic_kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,baseline,,375,159,168,168,0,168,114,54,45,162,0.6785714285714286,0.7169811320754716,0.6972477064220183,0,0.0,0.6692657569850552,0.7800227783309828
results\synthetic\continuous\synthetic_kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,375,159,168,168,0,165,112,53,47,163,0.6787878787878788,0.7044025157232704,0.691358024691358,1,-0.00588968173066029,0.6692657569850552,0.7800227783309828
results\synthetic\continuous\synthetic_kaggle_diabetic_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.0,375,159,168,168,0,168,114,54,45,162,0.6785714285714286,0.7169811320754716,0.6972477064220183,0,0.0,0.6692657569850552,0.7800227783309828
results\synthetic\continuous\synthetic_kaggle_nlp_AT-gpt-5-mini_verified.jsonl,baseline,,375,155,166,166,0,166,119,47,36,173,0.7168674698795181,0.7677419354838709,0.7414330218068537,0,0.0,0.5240479170391561,0.7271555452104376
results\synthetic\continuous\synthetic_kaggle_nlp_AT-gpt-5-mini_verified.jsonl,threshold_0.7,0.7,375,155,166,166,0,164,117,47,38,173,0.7134146341463414,0.7548387096774194,0.7335423197492164,0,-0.007890702057637311,0.5240479170391561,0.7271555452104376
results\synthetic\continuous\synthetic_kaggle_nlp_AT-gpt-5-mini_verified.jsonl,best_f1_threshold,0.1,375,155,166,166,0,166,119,47,36,173,0.7168674698795181,0.7677419354838709,0.7414330218068537,0,0.0,0.5240479170391561,0.7271555452104376
ALL,baseline,,1125,504,476,476,0,476,346,130,158,491,0.726890756302521,0.6865079365079365,0.7061224489795919,0,0.0,0.5764562027567808,0.7611969980501319
ALL,threshold_0.7,0.7,1125,504,476,476,0,469,340,129,164,492,0.7249466950959488,0.6746031746031746,0.6988694758478932,1,-0.007252973131698703,0.5764562027567808,0.7611969980501319
ALL,best_f1_threshold,0.0,1125,504,476,476,0,476,346,130,158,491,0.726890756302521,0.6865079365079365,0.7061224489795919,0,0.0,0.5764562027567808,0.7611969980501319
