file,threshold,precision,recall,f1,tp,fp,fn,tn,accepted_fail_predictions
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,1.0,0.7751937984496124,0.5263157894736842,0.6269592476489029,100,29,90,156,129
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.99,0.7751937984496124,0.5263157894736842,0.6269592476489029,100,29,90,156,129
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.98,0.7751937984496124,0.5263157894736842,0.6269592476489029,100,29,90,156,129
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.97,0.7751937984496124,0.5263157894736842,0.6269592476489029,100,29,90,156,129
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.96,0.7751937984496124,0.5263157894736842,0.6269592476489029,100,29,90,156,129
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.95,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.94,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.93,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.92,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.91,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.9,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.89,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.88,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.87,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.86,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.85,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.84,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.83,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.82,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.81,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.8,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.79,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.78,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.77,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.76,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.75,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.74,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.73,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
results\synthetic\structured\synthetic_kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.72,0.7883211678832117,0.5684210526315789,0.6605504587155964,108,29,82,156,137
