file,domain,dataset,method,method_model,method_variant,total_tests,non_inconclusive_predictions,fail_labels,fail_predictions,tp,fp,fn,tn,missing_gt_label,total_cost_usd,average_cost_usd,response_rate,precision,recall,f1
results/synthetic/synthetic_kaggle_diabetic_AT-gpt-5-mini-dynamic.jsonl,ml-bugs,kaggle_diabetic,AT,openai/gpt-5-mini,dynamic,375,258,159,150,84,66,75,86,0,8.957921,0.023888,0.6880,0.5600,0.5283,0.5437
results/synthetic/synthetic_kaggle_diabetic_AT-gpt-5-mini.jsonl,ml-bugs,kaggle_diabetic,AT,openai/gpt-5-mini,,375,263,159,175,96,79,63,65,0,12.671824,0.033792,0.7013,0.5486,0.6038,0.5749
results/synthetic/synthetic_kaggle_diabetic_codex-gpt-5-mini.jsonl,ml-bugs,kaggle_diabetic,codex,openai/gpt-5-mini,,375,14,159,12,8,4,151,2,0,0.436272,0.001163,0.0373,0.6667,0.0503,0.0936
results/synthetic/synthetic_kaggle_nlp_AT-gpt-5-mini-dynamic.jsonl,ml-bugs,kaggle_nlp,AT,openai/gpt-5-mini,dynamic,375,296,155,166,115,51,40,111,0,9.069981,0.024187,0.7893,0.6928,0.7419,0.7165
results/synthetic/synthetic_kaggle_nlp_AT-gpt-5-mini.jsonl,ml-bugs,kaggle_nlp,AT,openai/gpt-5-mini,,375,276,155,173,117,56,38,89,0,9.209811,0.024559,0.7360,0.6763,0.7548,0.7134
results/synthetic/synthetic_kaggle_nlp_codex-gpt-5-mini.jsonl,ml-bugs,kaggle_nlp,codex,openai/gpt-5-mini,,375,19,155,19,11,8,144,0,0,0.461756,0.001231,0.0507,0.5789,0.0710,0.1264
results/synthetic/synthetic_kaggle_titanic_AT-gpt-5-mini-dynamic.jsonl,ml-bugs,kaggle_titanic,AT,openai/gpt-5-mini,dynamic,375,339,190,144,110,34,80,134,0,10.285223,0.027427,0.9040,0.7639,0.5789,0.6587
results/synthetic/synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,ml-bugs,kaggle_titanic,AT,openai/gpt-5-mini,,375,294,190,162,120,42,70,108,0,13.098117,0.034928,0.7840,0.7407,0.6316,0.6818
results/synthetic/synthetic_kaggle_titanic_codex-gpt-5-mini.jsonl,ml-bugs,kaggle_titanic,codex,openai/gpt-5-mini,,375,29,190,29,14,15,176,0,0,0.393009,0.001048,0.0773,0.4828,0.0737,0.1279
results/synthetic/synthetic_kaggle_titanic_traincheck.jsonl,ml-bugs,kaggle_titanic,traincheck,,,375,0,190,0,0,0,190,0,0,N/A,N/A,0.0000,N/A,0.0000,N/A
