file,domain,dataset,method,method_model,method_variant,total_tests,non_inconclusive_predictions,fail_labels,fail_predictions,tp,fp,fn,tn,missing_gt_label,total_cost_usd,average_cost_usd,response_rate,precision,recall,f1
results/synthetic/synthetic_bibifi_AT-gpt-5-mini.jsonl,security-vuln,bibifi,AT,openai/gpt-5-mini,,216,206,127,148,108,40,19,55,0,4.208728,0.019485,0.9537,0.7297,0.8504,0.7855
results/synthetic/synthetic_bibifi_codeql.jsonl,security-vuln,bibifi,codeql,,,216,216,127,9,6,3,121,86,0,N/A,N/A,1.0000,0.6667,0.0472,0.0882
results/synthetic/synthetic_bibifi_codex-gpt-5-mini.jsonl,security-vuln,bibifi,codex,openai/gpt-5-mini,,216,7,127,7,6,1,121,0,0,0.695270,0.003219,0.0324,0.8571,0.0472,0.0896
results/synthetic/synthetic_cwe-bench_AT-gpt-5-mini.jsonl,security-vuln,cwe-bench,AT,openai/gpt-5-mini,,50,42,19,24,8,16,11,15,0,2.364913,0.047298,0.8400,0.3333,0.4211,0.3721
results/synthetic/synthetic_cwe-bench_codeql.jsonl,security-vuln,cwe-bench,codeql,,,50,50,19,4,1,3,18,29,0,N/A,N/A,1.0000,0.2500,0.0526,0.0870
results/synthetic/synthetic_cwe-bench_codex-gpt-5-mini.jsonl,security-vuln,cwe-bench,codex,openai/gpt-5-mini,,50,3,19,3,1,2,18,0,0,0.925432,0.018509,0.0600,0.3333,0.0526,0.0909
results/synthetic/synthetic_hallucination_AT-gpt-5-mini.jsonl,citation-hallucinations,hallucination,AT,openai/gpt-5-mini,,46,26,22,14,8,6,14,10,0,1.877978,0.040826,0.5652,0.5714,0.3636,0.4444
results/synthetic/synthetic_hallucination_codex-gpt-5-mini.jsonl,citation-hallucinations,hallucination,codex,openai/gpt-5-mini,,46,0,22,0,0,0,22,0,0,0.448789,0.009756,0.0000,N/A,0.0000,N/A
results/synthetic/synthetic_hallucination_refchecker.jsonl,citation-hallucinations,hallucination,refchecker,,,46,25,22,21,4,17,18,3,0,N/A,N/A,0.5435,0.1905,0.1818,0.1860
results/synthetic/synthetic_kaggle_diabetic_AT-gpt-5-mini-dynamic.jsonl,ml-bugs,kaggle_diabetic,AT,openai/gpt-5-mini,dynamic,375,258,159,150,84,66,75,86,0,8.957921,0.023888,0.6880,0.5600,0.5283,0.5437
results/synthetic/synthetic_kaggle_diabetic_AT-gpt-5-mini.jsonl,ml-bugs,kaggle_diabetic,AT,openai/gpt-5-mini,,375,263,159,175,96,79,63,65,0,12.671824,0.033792,0.7013,0.5486,0.6038,0.5749
results/synthetic/synthetic_kaggle_diabetic_codex-gpt-5-mini.jsonl,ml-bugs,kaggle_diabetic,codex,openai/gpt-5-mini,,375,14,159,12,8,4,151,2,0,0.436272,0.001163,0.0373,0.6667,0.0503,0.0936
results/synthetic/synthetic_kaggle_nlp_AT-gpt-5-mini-dynamic.jsonl,ml-bugs,kaggle_nlp,AT,openai/gpt-5-mini,dynamic,375,296,155,166,115,51,40,111,0,9.069981,0.024187,0.7893,0.6928,0.7419,0.7165
results/synthetic/synthetic_kaggle_nlp_AT-gpt-5-mini.jsonl,ml-bugs,kaggle_nlp,AT,openai/gpt-5-mini,,375,276,155,173,117,56,38,89,0,9.209811,0.024559,0.7360,0.6763,0.7548,0.7134
results/synthetic/synthetic_kaggle_nlp_codex-gpt-5-mini.jsonl,ml-bugs,kaggle_nlp,codex,openai/gpt-5-mini,,375,19,155,19,11,8,144,0,0,0.461756,0.001231,0.0507,0.5789,0.0710,0.1264
results/synthetic/synthetic_kaggle_titanic_AT-gpt-5-mini-dynamic.jsonl,ml-bugs,kaggle_titanic,AT,openai/gpt-5-mini,dynamic,375,339,190,144,110,34,80,134,0,10.285223,0.027427,0.9040,0.7639,0.5789,0.6587
results/synthetic/synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,ml-bugs,kaggle_titanic,AT,openai/gpt-5-mini,,375,294,190,162,120,42,70,108,0,13.098117,0.034928,0.7840,0.7407,0.6316,0.6818
results/synthetic/synthetic_kaggle_titanic_codex-gpt-5-mini.jsonl,ml-bugs,kaggle_titanic,codex,openai/gpt-5-mini,,375,29,190,29,14,15,176,0,0,0.393009,0.001048,0.0773,0.4828,0.0737,0.1279
results/synthetic/synthetic_kaggle_titanic_traincheck.jsonl,ml-bugs,kaggle_titanic,traincheck,,,375,0,190,0,0,0,190,0,0,N/A,N/A,0.0000,N/A,0.0000,N/A
