file,metric,threshold,tests,gt_fail,predicted_fail,scored_predicted_fail,missing_verifier_scores,accepted_fail_predictions,tp,fp,fn,tn,precision,recall,f1,fp_reduction_vs_baseline,f1_delta_vs_baseline,verifier_auroc,verifier_average_precision
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,baseline,,375,190,142,142,0,142,113,29,77,156,0.795774647887324,0.5947368421052631,0.6807228915662651,0,0.0,0.48672566371681414,0.7914452897708799
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,375,190,142,142,0,140,111,29,79,156,0.7928571428571428,0.5842105263157895,0.6727272727272726,0,-0.007995618838992469,0.48672566371681414,0.7914452897708799
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,best_f1_threshold,0.1,375,190,142,142,0,142,113,29,77,156,0.795774647887324,0.5947368421052631,0.6807228915662651,0,0.0,0.48672566371681414,0.7914452897708799
results\synthetic\synthetic_kaggle_diabetic_AT-gpt-5-mini.jsonl,baseline,,375,159,168,119,49,168,114,54,45,162,0.6785714285714286,0.7169811320754716,0.6972477064220183,0,0.0,0.4934210526315789,0.6356335129948499
results\synthetic\synthetic_kaggle_diabetic_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,375,159,168,119,49,118,75,43,84,173,0.635593220338983,0.4716981132075472,0.5415162454873647,11,-0.15573146093465362,0.4934210526315789,0.6356335129948499
results\synthetic\synthetic_kaggle_diabetic_AT-gpt-5-mini.jsonl,best_f1_threshold,0.1,375,159,168,119,49,119,76,43,83,173,0.6386554621848739,0.4779874213836478,0.5467625899280576,11,-0.15048511649396068,0.4934210526315789,0.6356335129948499
results\synthetic\synthetic_kaggle_nlp_AT-gpt-5-mini.jsonl,baseline,,375,155,166,158,8,166,119,47,36,173,0.7168674698795181,0.7677419354838709,0.7414330218068537,0,0.0,0.5112094395280236,0.7197979784653852
results\synthetic\synthetic_kaggle_nlp_AT-gpt-5-mini.jsonl,threshold_0.7,0.7,375,155,166,158,8,157,112,45,43,175,0.7133757961783439,0.7225806451612903,0.717948717948718,2,-0.023484303858135713,0.5112094395280236,0.7197979784653852
results\synthetic\synthetic_kaggle_nlp_AT-gpt-5-mini.jsonl,best_f1_threshold,0.1,375,155,166,158,8,158,113,45,42,175,0.7151898734177216,0.7290322580645161,0.7220447284345048,2,-0.01938829337234882,0.5112094395280236,0.7197979784653852
ALL,baseline,,1125,504,476,419,57,476,346,130,158,491,0.726890756302521,0.6865079365079365,0.7061224489795919,0,0.0,0.4977924944812362,0.7198845115648201
ALL,threshold_0.7,0.7,1125,504,476,419,57,415,298,117,206,504,0.7180722891566265,0.5912698412698413,0.648531011969532,13,-0.057591437010059865,0.4977924944812362,0.7198845115648201
ALL,best_f1_threshold,0.1,1125,504,476,419,57,419,302,117,202,504,0.720763723150358,0.5992063492063492,0.6543878656554712,13,-0.05173458332412062,0.4977924944812362,0.7198845115648201
